lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB
42.5,-125,8.61977,0.6724,0.0675766,0.0443,1,Ps,11.8924,4.98246,0.0354992,0.00504214,38.9799,Sp
42.75,-125,8.58414,0.6724,0.0565035,0.0443,1,Ps,12.0971,4.77287,0.03529,0.0040285,43.3301,Sp
43,-125,8.61255,0.6724,0.0480347,0.0443,1,Ps,12.0719,4.73003,0.0366867,0.00232751,15.8301,Sp
47.5,-125,9.99717,0.6724,0.107328,0.0443,1,Ps,10.1913,5.76163,0.0297554,0.00504299,33.9998,Sp
47.75,-125,9.98713,0.6724,0.11998,0.0443,1,Ps,11.0051,5.46413,0.0255677,0.00235929,9.63989,Sp
48,-125,9.97497,0.6724,0.133205,0.0443,1,Ps,11.2099,5.23063,0.0301931,0.00320135,11.9303,Sp
48.25,-125,10.082,0.6724,0.139874,0.0443,1,Ps,11.2151,5.23167,0.0348878,0.00273569,14.8199,Sp
41.75,-124.75,8.89443,0.6724,0.0986637,0.0443,1,Ps,12.3954,4.90928,0.0369555,0.00617849,27.0401,Sp
42,-124.75,8.89592,0.6724,0.092062,0.0443,1,Ps,11.4126,5.32989,0.0414735,0.00489576,29.3503,Sp
42.5,-124.75,8.61207,0.6724,0.0681219,0.0443,1,Ps,12.0905,4.84618,0.0354992,0.00361053,29.3492,Sp
42.75,-124.75,8.57681,0.6724,0.0561113,0.0443,1,Ps,12.4991,4.50259,0.0382041,0.00314712,6.67029,Sp
43,-124.75,8.5514,0.6724,0.0479791,0.0443,1,Ps,12.0496,4.75744,0.0366347,0.00234583,25.8297,Sp
43.25,-124.75,8.59372,0.6724,0.0423617,0.0443,1,Ps,11.6281,4.95099,0.0344374,0.00397099,15.1898,Sp
44.75,-124.75,8.49996,0.6724,0.0351315,0.0443,1,Ps,10.363,5.45404,0.023886,0.00165342,11.0901,Sp
47.5,-124.75,10.0007,0.6724,0.109281,0.0443,1,Ps,10.3283,5.65945,0.0285998,0.00507249,33.4306,Sp
47.75,-124.75,9.99281,0.6724,0.124489,0.0443,1,Ps,10.9406,5.42871,0.0226623,0.00221044,17.2299,Sp
48,-124.75,10.1101,0.6724,0.134276,0.0443,1,Ps,11.2207,5.22797,0.0292224,0.00398,17.7798,Sp
48.25,-124.75,10.0854,0.6724,0.144755,0.0443,1,Ps,11.8235,4.92355,0.0328685,0.0027447,13.7104,Sp
40.25,-124.5,8.12393,0.6724,0.133383,0.0443,1,Ps,13.4622,4.13838,0.0285311,0.00178374,27.69,Sp
40.5,-124.5,8.16757,0.6724,0.138372,0.0443,1,Ps,13.4784,4.16603,0.0287125,0.00291427,34.2599,Sp
40.75,-124.5,8.30186,0.6724,0.136015,0.0443,1,Ps,13.0186,4.38981,0.0313323,0.00368657,18.6198,Sp
41,-124.5,8.55427,0.6724,0.125508,0.0443,1,Ps,13.2362,4.37706,0.0264298,0.00539669,5.55008,Sp
41.5,-124.5,8.89191,0.6724,0.102287,0.0443,1,Ps,12.4538,4.68454,0.0310924,0.00816437,29.82,Sp
41.75,-124.5,8.82584,0.6724,0.0991578,0.0443,1,Ps,12.2928,4.57498,0.0437544,0.00307551,12.0499,Sp
42,-124.5,8.81601,0.6724,0.0966052,0.0443,1,Ps,12.2316,4.66467,0.0401098,0.00574186,30,Sp
42.25,-124.5,8.77079,0.6724,0.0838474,0.0443,1,Ps,12.3553,4.62173,0.0332233,0.00350524,35.4601,Sp
42.5,-124.5,8.73745,0.6724,0.0669746,0.0443,1,Ps,12.4913,4.41215,0.0374131,0.00568173,14.1699,Sp
42.75,-124.5,8.69857,0.6724,0.0537127,0.0443,1,Ps,12.5081,4.42988,0.0432562,0.00329457,6.38018,Sp
43,-124.5,8.67372,0.6724,0.0466511,0.0443,1,Ps,12.3941,4.55152,0.0348475,0.0060053,27.7798,Sp
43.25,-124.5,8.6657,0.6724,0.0420858,0.0443,1,Ps,11.7433,4.94663,0.0287863,0.00351745,29.3599,Sp
44,-124.5,8.23296,0.6724,0.0350261,0.0443,1,Ps,11.2492,5.1047,0.0237362,0.00161247,11.4702,Sp
44.75,-124.5,8.35572,0.6724,0.0334599,0.0443,1,Ps,10.4889,5.81796,0.0262994,0.00475498,9.34609,Sp
45,-124.5,8.58253,0.6724,0.0377674,0.0443,1,Ps,10.3976,5.77764,0.0272972,0.00418257,40.4601,Sp
47,-124.5,10.4377,0.6724,0.0862917,0.0443,1,Ps,11.7486,5.06175,0.0277105,0.00290482,30.6401,Sp
47.25,-124.5,10.0194,0.6724,0.0968894,0.0443,1,Ps,10.797,5.37884,0.0282343,0.00238657,31.3802,Sp
47.5,-124.5,9.98153,0.6724,0.11165,0.0443,1,Ps,10.4539,5.55842,0.0244113,0.003621,44.3599,Sp
47.75,-124.5,9.9757,0.6724,0.130555,0.0443,1,Ps,10.8637,5.52906,0.0216588,0.00203518,15,Sp
48,-124.5,10.083,0.6724,0.141792,0.0443,1,Ps,11.8112,4.92157,0.026898,0.00560975,14.7299,Sp
48.25,-124.5,10.221,0.6724,0.146784,0.0443,1,Ps,11.9007,4.75151,0.0334124,0.00388184,16.3098,Sp
39.75,-124.25,8.22112,0.6724,0.113058,0.0443,1,Ps,13.3145,4.28183,0.0306726,0.00130235,34.6302,Sp
40,-124.25,8.13415,0.6724,0.121888,0.0443,1,Ps,13.3603,4.18105,0.0290548,0.00159447,24.2603,Sp
40.25,-124.25,8.12701,0.6724,0.129959,0.0443,1,Ps,13.3343,4.20872,0.0267743,0.00279094,21.1095,Sp
40.5,-124.25,8.16879,0.6724,0.138409,0.0443,1,Ps,13.2115,4.26642,0.0280037,0.00492448,16.1898,Sp
40.75,-124.25,8.1781,0.6724,0.141785,0.0443,1,Ps,13.0095,4.3594,0.035286,0.00427266,16.1095,Sp
41,-124.25,8.44183,0.6724,0.130574,0.0443,1,Ps,13.1,4.34771,0.0312004,0.00600269,13.9002,Sp
41.25,-124.25,8.62082,0.6724,0.116861,0.0443,1,Ps,13.1519,4.33285,0.0252243,0.00242131,5.91974,Sp
41.5,-124.25,8.82222,0.6724,0.100928,0.0443,1,Ps,12.2844,4.74821,0.0293309,0.00701621,23.7896,Sp
41.75,-124.25,8.92073,0.6724,0.0950147,0.0443,1,Ps,12.1494,4.6375,0.0405705,0.00406882,8.50977,Sp
42,-124.25,8.92077,0.6724,0.0944623,0.0443,1,Ps,12.2932,4.56126,0.0376118,0.00546807,12.7798,Sp
42.25,-124.25,8.83151,0.6724,0.0866759,0.0443,1,Ps,12.4599,4.45082,0.0299509,0.00198526,14.0694,Sp
42.5,-124.25,8.73969,0.6724,0.0704358,0.0443,1,Ps,12.4304,4.47455,0.0339035,0.00584921,13.5195,Sp
42.75,-124.25,8.76568,0.6724,0.0516405,0.0443,1,Ps,12.3596,4.45433,0.0422444,0.00374567,3.69955,Sp
43,-124.25,8.73679,0.6724,0.0459398,0.0443,1,Ps,12.4427,4.44352,0.0371824,0.00572259,20,Sp
43.25,-124.25,8.79244,0.6724,0.0424943,0.0443,1,Ps,12.2838,4.61095,0.0273809,0.00382188,8.14965,Sp
43.5,-124.25,8.59969,0.6724,0.0405951,0.0443,1,Ps,11.7276,4.94983,0.0228562,0.00125238,21.4794,Sp
43.75,-124.25,8.33984,0.6724,0.0402552,0.0443,1,Ps,11.2563,5.11923,0.0231557,0.00131712,4.81994,Sp
44,-124.25,8.22746,0.6724,0.0361936,0.0443,1,Ps,11.1853,5.14209,0.02463,0.00131069,10.9129,Sp
44.25,-124.25,8.27758,0.6724,0.0332623,0.0443,1,Ps,11.535,4.86595,0.0220406,0,14.3739,Sp
44.75,-124.25,8.3328,0.6724,0.0309854,0.0443,1,Ps,10.7439,5.27976,0.0236467,0.00164352,10.5277,Sp
45,-124.25,8.55997,0.6724,0.0344999,0.0443,1,Ps,10.656,5.53817,0.0238041,0.00358005,17.4891,Sp
45.75,-124.25,10.0012,0.6724,0.0689335,0.0443,1,Ps,12.4152,4.34716,0.0303339,0.00283724,14.6399,Sp
46,-124.25,10.2916,0.6724,0.0812318,0.0443,1,Ps,12.354,4.42463,0.036515,0.00260744,19.1703,Sp
46.5,-124.25,10.479,0.6724,0.0933461,0.0443,1,Ps,12.1003,4.56004,0.0241714,0.00409131,20.5596,Sp
46.75,-124.25,10.6718,0.6724,0.0888208,0.0443,1,Ps,12.1969,4.62271,0.0226063,0.00179636,22.775,Sp
47,-124.25,10.593,0.6724,0.0849568,0.0443,1,Ps,11.2915,5.25161,0.0252737,0.00224148,44.6399,Sp
47.25,-124.25,10.1479,0.6724,0.0933051,0.0443,1,Ps,11.0055,5.31093,0.0263792,0.00220304,32.2299,Sp
47.5,-124.25,9.99786,0.6724,0.116572,0.0443,1,Ps,10.3306,5.6949,0.0240555,0.002529,24.3914,Sp
47.75,-124.25,10.1174,0.6724,0.133837,0.0443,1,Ps,10.8127,5.52836,0.0211214,0.00158743,20.82,Sp
48,-124.25,10.2264,0.6724,0.146769,0.0443,1,Ps,11.8253,4.75123,0.0300631,0.00528069,18.8796,Sp
48.25,-124.25,10.2256,0.6724,0.154201,0.0443,1,Ps,11.9015,4.74878,0.0336989,0.00240974,18.8796,Sp
39.5,-124,8.35114,0.6724,0.104462,0.0443,1,Ps,13.7928,4.1092,0.0322823,0.00168665,20.5501,Sp
39.75,-124,8.22897,0.6724,0.107134,0.0443,1,Ps,13.3408,4.28468,0.0288171,0.00207384,31.3899,Sp
40,-124,8.09514,0.6724,0.116014,0.0443,1,Ps,13.078,4.42062,0.0282406,0.00278297,21.3802,Sp
40.25,-124,8.13007,0.6724,0.123876,0.0443,1,Ps,13.0761,4.38146,0.0299375,0.00506484,26.3098,Sp
40.5,-124,8.16565,0.6724,0.136921,0.0443,1,Ps,12.9455,4.40134,0.0353262,0.00759869,19.82,Sp
40.75,-124,8.22281,0.6724,0.141881,0.0443,1,Ps,12.8332,4.46071,0.0428573,0.00473102,5.17033,Sp
41,-124,8.35266,0.6724,0.135426,0.0443,1,Ps,12.78,4.5506,0.037571,0.00705213,14.72,Sp
41.25,-124,8.61618,0.6724,0.118088,0.0443,1,Ps,12.7484,4.60059,0.0263915,0.00210961,8.97993,Sp
41.5,-124,8.54082,0.6724,0.107003,0.0443,1,Ps,12.072,4.76996,0.0278865,0.00474233,13.8899,Sp
41.75,-124,8.7883,0.6724,0.0974497,0.0443,1,Ps,12.0198,4.69543,0.0374264,0.00226199,20.28,Sp
42,-124,8.83848,0.6724,0.100016,0.0443,1,Ps,12.19,4.65506,0.0368056,0.00185563,28.3398,Sp
42.25,-124,8.99301,0.6724,0.0996788,0.0443,1,Ps,12.3716,4.53934,0.032693,0.00317804,12.69,Sp
42.5,-124,9.13168,0.6724,0.0895729,0.0443,1,Ps,12.2694,4.5951,0.0322607,0.00249814,29.82,Sp
42.75,-124,8.91148,0.6724,0.0523754,0.0443,1,Ps,12.2655,4.54275,0.0351772,0.00347953,15.7401,Sp
43,-124,8.87491,0.6724,0.0453832,0.0443,1,Ps,12.2549,4.54049,0.034669,0.00283594,11.2902,Sp
43.25,-124,8.72073,0.6724,0.0445096,0.0443,1,Ps,12.1766,4.60765,0.0274476,0.00427244,12.59,Sp
43.5,-124,8.59789,0.6724,0.0411125,0.0443,1,Ps,11.9258,4.88184,0.0227072,0.00187419,14.91,Sp
43.75,-124,8.33787,0.6724,0.0406758,0.0443,1,Ps,11.2571,5.12024,0.0227349,0.000975614,14.574,Sp
44,-124,8.13329,0.6724,0.0372702,0.0443,1,Ps,10.8736,5.17641,0.0223422,0.00115057,16.27,Sp
44.75,-124,8.27495,0.6724,0.030481,0.0443,1,Ps,10.7125,5.20588,0.0236467,0,11.695,Sp
45,-124,8.52655,0.6724,0.0336369,0.0443,1,Ps,11.1071,5.16407,0.0237686,0.00195295,25.8871,Sp
45.25,-124,8.77674,0.6724,0.0376558,0.0443,1,Ps,11.2332,5.1168,0.0234546,0.00208279,23.0501,Sp
45.5,-124,10.0625,0.6724,0.0604887,0.0443,1,Ps,12.1358,4.52672,0.0269892,0.00382513,13.9799,Sp
45.75,-124,10.1045,0.6724,0.0662538,0.0443,1,Ps,12.2747,4.40795,0.0314523,0.00184844,7.87003,Sp
46,-124,10.2832,0.6724,0.0822682,0.0443,1,Ps,12.3448,4.39433,0.0333634,0.00227566,19.35,Sp
46.25,-124,10.3193,0.6724,0.0907314,0.0443,1,Ps,12.1607,4.52875,0.0336285,0.00328668,13.3398,Sp
46.5,-124,10.4933,0.6724,0.0955791,0.0443,1,Ps,11.9863,4.59618,0.0264601,0.0046101,15.37,Sp
46.75,-124,10.6108,0.6724,0.0898172,0.0443,1,Ps,11.7013,4.85541,0.022187,0.00203513,22.59,Sp
47,-124,10.6581,0.6724,0.0826327,0.0443,1,Ps,11.5908,4.98463,0.0265755,0.00354945,36.8597,Sp
47.25,-124,10.0227,0.6724,0.0971329,0.0443,1,Ps,11.2032,5.11088,0.0272421,0.00330413,33.15,Sp
47.5,-124,9.9912,0.6724,0.121312,0.0443,1,Ps,11.2768,5.15587,0.0231758,0.00287723,23.3033,Sp
47.75,-124,10.1166,0.6724,0.138866,0.0443,1,Ps,11.6233,4.85252,0.0211848,0,19.9432,Sp
48,-124,10.2329,0.6724,0.154835,0.0443,1,Ps,11.7631,4.81844,0.0239792,0.0043223,24.1699,Sp
48.25,-124,10.3164,0.6724,0.157815,0.0443,1,Ps,11.8204,5.04954,0.0289462,0.00463187,20,Sp
39,-123.75,8.09455,0.6724,0.168967,0.0443,1,Ps,13.864,4.06398,0.0224942,0.00284905,13.0499,Sp
39.25,-123.75,8.25238,0.6724,0.144745,0.0443,1,Ps,13.9249,3.99846,0.030159,0.00332787,22.9599,Sp
39.5,-123.75,8.46362,0.6724,0.103478,0.0443,1,Ps,13.9709,3.93315,0.0321714,0.00282537,14.0597,Sp
39.75,-123.75,8.36343,0.6724,0.103386,0.0443,1,Ps,13.5767,4.24905,0.0268406,0.00249292,3.69955,Sp
40,-123.75,8.21539,0.6724,0.105872,0.0443,1,Ps,12.8305,4.55458,0.0308436,0.00393342,5.45012,Sp
40.25,-123.75,8.06268,0.6724,0.117127,0.0443,1,Ps,12.8428,4.44967,0.0343543,0.00243029,20.0097,Sp
40.5,-123.75,8.10732,0.6724,0.130963,0.0443,1,Ps,12.8497,4.43878,0.0363402,0.00457931,15.7397,Sp
40.75,-123.75,8.17831,0.6724,0.140203,0.0443,1,Ps,12.6104,4.60043,0.042777,0.00349646,7.04013,Sp
41,-123.75,8.3806,0.6724,0.133898,0.0443,1,Ps,12.2834,4.77502,0.037571,0.00613494,14.82,Sp
41.25,-123.75,8.62314,0.6724,0.118011,0.0443,1,Ps,12.1662,4.82521,0.027657,0.00259517,18.1497,Sp
41.5,-123.75,8.66457,0.6724,0.11041,0.0443,1,Ps,12.091,4.69309,0.0310546,0.00416912,30,Sp
41.75,-123.75,8.98678,0.6724,0.106249,0.0443,1,Ps,11.9585,4.67959,0.0369423,0.00121242,25.2007,Sp
42,-123.75,9.14506,0.6724,0.11056,0.0443,1,Ps,12.121,4.6729,0.0371059,0.000898552,24.82,Sp
42.25,-123.75,9.164,0.6724,0.106577,0.0443,1,Ps,12.153,4.69605,0.0380904,0.00318085,8.87961,Sp
42.5,-123.75,9.28505,0.6724,0.0870674,0.0443,1,Ps,11.9724,4.75321,0.035321,0.00475443,11.5694,Sp
42.75,-123.75,9.07013,0.6724,0.054252,0.0443,1,Ps,12.0227,4.70564,0.03446,0.00379189,21.8503,Sp
43,-123.75,8.87986,0.6724,0.0464603,0.0443,1,Ps,11.9949,4.7039,0.034669,0.00317657,16.3004,Sp
43.25,-123.75,8.76226,0.6724,0.043939,0.0443,1,Ps,11.9379,4.77272,0.0291489,0.00487995,20,Sp
43.5,-123.75,8.62171,0.6724,0.0417446,0.0443,1,Ps,11.7438,4.87069,0.021788,0.00164713,17.3767,Sp
43.75,-123.75,8.47107,0.6724,0.0406926,0.0443,1,Ps,12.5245,4.77499,0.0214722,0.00225626,15.6381,Sp
44,-123.75,8.25058,0.6724,0.0389426,0.0443,1,Ps,12.8699,4.21442,0.0247446,0.00229845,19.498,Sp
44.25,-123.75,8.32592,0.6724,0.0358212,0.0443,1,Ps,12.7614,4.22804,0.0230641,0.00277849,19.8172,Sp
44.5,-123.75,8.40181,0.6724,0.0333334,0.0443,1,Ps,11.6601,4.70777,0.0211721,0,14.3738,Sp
45,-123.75,8.88922,0.6724,0.0366579,0.0443,1,Ps,11.0384,5.01404,0.024852,0.00163413,15,Sp
45.25,-123.75,9.16253,0.6724,0.0422161,0.0443,1,Ps,11.1092,5.13809,0.0236276,0.00161814,14.1004,Sp
45.5,-123.75,10.067,0.6724,0.0592104,0.0443,1,Ps,12.0121,4.62069,0.0273143,0.00370581,16.9501,Sp
45.75,-123.75,10.0948,0.6724,0.0633557,0.0443,1,Ps,12.0753,4.50567,0.031262,0.00150508,5.73968,Sp
46,-123.75,10.2639,0.6724,0.0776826,0.0443,1,Ps,12.2727,4.45828,0.0314275,0.00234773,16.0304,Sp
46.25,-123.75,10.3267,0.6724,0.0915118,0.0443,1,Ps,12.229,4.49614,0.03007,0.00413206,13.1605,Sp
46.5,-123.75,10.516,0.6724,0.0988505,0.0443,1,Ps,11.9958,4.63003,0.0261009,0.00406061,4.35034,Sp
46.75,-123.75,10.4235,0.6724,0.097705,0.0443,1,Ps,11.6774,4.83116,0.0215701,0.00176467,21.57,Sp
