lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed
33.25,-119,5.95967,0.356243,0.0879832,0.0454399,1,Ps,13.4667,0.126531,0.0265373,0.00258938,10.7400625619898,Sp,0.475652362441464,0.111374655816028,0.488833950534965,0.373645231634737,0.001,Ps
33.5,-119,6.38737,0.364286,0.0917186,0.0457257,1,Ps,13.432,0.190177,0.0248941,0.0014915,11.0200793506973,Sp,0.441645260581066,0.108134334706335,0.422592842477223,0.333651057934305,0.001,Ps
33.75,-119,6.85235,0.369901,0.0941086,0.0400318,1,Ps,13.1228,0.221302,0.0275548,0.00225747,9.15026321812772,Sp,0.574398956157484,0.0970236141290121,0.273365385021967,0.171639937123537,0.001,Ps
34,-119,7.31535,0.495563,0.0618101,0.0349629,1,Ps,12.6423,0.188586,0.0299399,0.00254964,28.3398115491878,Sp,1.0149494513861,0.0867899588482867,0.130853683412985,0.0871729279424733,0.001,Ps
34.25,-119,7.63909,0.501002,0.0613202,0.0291354,1,Ps,12.4416,0.125293,0.0284396,0.00397298,30.1096742198825,Sp,1.12838507692214,0.0856963359766895,0.105555298415264,0.0715420805084005,0.001,Ps
34.5,-119,8.25857,0.509747,0.0627069,0.0329897,1,Ps,12.3215,0.219725,0.0272432,0.00311739,7.76035706111238,Sp,1.12627288478986,0.0862571176274085,0.0943023438280146,0.0601273747484455,0.001,Ps
34.75,-119,8.76965,0.509092,0.0596805,0.0319274,1,Ps,12.0011,0.192148,0.029137,0.00401439,37.5900282291905,Sp,0.957581254106798,0.0873281489818565,0.0910195964194909,0.0665820470752517,0.001,Ps
35,-119,9.27055,0.442829,0.0462708,0.0300306,1,Ps,11.9602,0.0961161,0.0344638,0.00362989,29.6299652847793,Sp,0.880522980212225,0.0884387642796329,0.0851928444373742,0.0745406862938187,0.001,Ps
35.25,-119,9.40635,0.568903,0.0495938,0.0311569,1,Ps,12.0218,0.127377,0.0379785,0.00182898,30.7400625619898,Sp,0.848499786015514,0.0889409995056365,0.0916205389657685,0.0864625672209696,0.001,Ps
35.5,-119,9.72928,0.693776,0.0848818,0.0346212,1,Ps,11.8235,0.15713,0.0391444,0.00163945,40,Sp,0.68318809831428,0.0953218197647402,0.227595402261357,0.130381123538256,0.001,Ps
35.75,-119,9.78733,0.760259,0.073715,0.0355959,1,Ps,11.5569,0.0914054,0.0409151,0.00409124,28.6100938429847,Sp,0.960886096255252,0.102765155290074,0.423404106229416,0.165585358182256,0.001,Ps
36,-119,9.91705,0.756748,0.0774046,0.0348464,1,Ps,11.5117,0.180604,0.0457348,0.00770279,29.2599305695586,Sp,0.910570224710028,0.105311914509583,0.477419013186083,0.167156735860907,0.001,Ps
36.25,-119,10.6665,0.867884,0.0942261,0.0350225,1,Ps,11.1614,0.211137,0.0559372,0.0101636,23.1597619592584,Sp,0.770449082053565,0.115831002100027,0.682240416500146,0.215409454644337,0.001,Ps
36.5,-119,10.1357,0.881878,0.0593419,0.027171,1,Ps,11.1871,0.42347,0.0382425,0.0109055,6.94019837106813,Sp,0.504304108240262,0.109728740165818,0.581254909416574,0.181902087322149,0.001,Ps
36.75,-119,9.54612,1.08233,0.0355915,0.0245361,1,Ps,11.5465,0.244361,0.0366911,0.00485282,19.5302128633555,Sp,0.236065963415284,0.107965995225995,0.459716138717635,0.294864532807953,0.001,Ps
37,-119,10.0086,1.01401,0.0605501,0.0264071,1,Ps,11.4416,0.123051,0.0471998,0.00516858,34.9099752050353,Sp,0.227978452423096,0.105062629768923,0.405278031235881,0.306584129532543,0.001,Ps
37.25,-119,10.0162,1.08168,0.053303,0.0294365,1,Ps,11.2709,0.186279,0.0453445,0.00626216,29.2502098115511,Sp,0.259879779806166,0.101060670880231,0.38459644154405,0.301334723487611,0.001,Ps
37.5,-119,10.21,0.954112,0.0653496,0.0303448,1,Ps,11.0567,0.188262,0.0336303,0.00688564,34.719990079744,Sp,0.237444942367385,0.10205170338397,0.393311524689448,0.342910430445905,0.001,Ps
37.75,-119,10.4697,0.712169,0.108427,0.0427559,1,Ps,11.2254,0.28703,0.0264044,0.00295765,32.5049132142232,Sp,0.227084248734415,0.104788590658177,0.454783778135194,0.398146630751293,0.001,Ps
38.5,-119,9.89972,0.524508,0.128204,0.0679154,1,Ps,11.1607,0.0319428,0.0286708,0.00386404,15.9127745718264,Sp,0.240417798169265,0.0997577246087727,0.331943718491291,0.379206667228188,0.001,Ps
38.75,-119,10.1321,0.579467,0.10229,0.0572645,1,Ps,11.0452,0.3821,0.03032,0.00466492,10.1703288319219,Sp,0.30159865745805,0.104823929518076,0.355142363256935,0.356847442710867,0.001,Ps
39,-119,10.4601,0.580345,0.0873266,0.052727,1,Ps,10.8613,0.70059,0.03032,0.00563246,44.2599305695586,Sp,0.363999942557605,0.107571810463251,0.366049612981442,0.365020114176199,0.001,Ps
39.25,-119,10.4413,0.57534,0.0803599,0.0506977,1,Ps,10.8685,0.701861,0.0347756,0.00881501,29.5399404898146,Sp,0.806057518310502,0.111905714882867,0.571512433250771,0.318732800589889,0.001,Ps
